2018/11/19 08:42:06 wazuh-db: INFO: Started (pid: 4540).
2018/11/19 08:42:07 ossec-execd: INFO: Started (pid: 4555).
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0530-mysql_audit_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0535-mariadb_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0540-pfsense_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0545-osquery_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0550-kaspersky_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0555-azure_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0560-docker_integration_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'etc/rules/local_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Total rules enabled: '2353'
2018/11/19 08:42:07 ossec-analysisd: INFO: Ignoring file: '/etc/mtab'
2018/11/19 08:42:07 ossec-analysisd: INFO: Ignoring file: '/etc/hosts.deny'
2018/11/19 08:42:07 ossec-analysisd: INFO: Ignoring file: '/etc/mail/statistics'
2018/11/19 08:42:07 ossec-analysisd: INFO: Ignoring file: '/etc/random-seed'
2018/11/19 08:42:07 ossec-analysisd: INFO: Ignoring file: '/etc/random.seed'
2018/11/19 08:42:07 ossec-analysisd: INFO: Ignoring file: '/etc/adjtime'
2018/11/19 08:42:07 ossec-analysisd: INFO: Ignoring file: '/etc/httpd/logs'
2018/11/19 08:42:07 ossec-analysisd: INFO: Ignoring file: '/etc/utmpx'
2018/11/19 08:42:07 ossec-analysisd: INFO: Ignoring file: '/etc/wtmpx'
2018/11/19 08:42:07 ossec-analysisd: INFO: Ignoring file: '/etc/cups/certs'
2018/11/19 08:42:07 ossec-analysisd: INFO: Ignoring file: '/etc/dumpdates'
2018/11/19 08:42:07 ossec-analysisd: INFO: Ignoring file: '/etc/svc/volatile'
2018/11/19 08:42:07 ossec-analysisd: INFO: Ignoring file: '/sys/kernel/security'
2018/11/19 08:42:07 ossec-analysisd: INFO: Ignoring file: '/sys/kernel/debug'
2018/11/19 08:42:07 ossec-analysisd: INFO: Started (pid: 4561).
2018/11/19 08:42:08 ossec-logcollector: INFO: Monitoring output of command(360): df -P
2018/11/19 08:42:08 ossec-logcollector: INFO: Monitoring full output of command(360): netstat -tulpn | sed 's/\([[:alnum:]]\+\)\ \+[[:digit:]]\+\ \+[[:digit:]]\+\ \+\(.*\):\([[:digit:]]*\)\ \+\([0-9\.\:\*]\+\).\+\ \([[:digit:]]*\/[[:alnum:]\-]*\).*/\1 \2 == \3 == \4 \5/' | sort -k 4 -g | sed 's/ == \(.*\) ==/:\1/' | sed 1,2d
2018/11/19 08:42:08 ossec-logcollector: INFO: Monitoring full output of command(360): last -n 20
2018/11/19 08:42:08 ossec-logcollector: INFO: (1950): Analyzing file: '/var/ossec/logs/active-responses.log'.
2018/11/19 08:42:08 ossec-logcollector: INFO: (1950): Analyzing file: '/var/log/syslog'.
2018/11/19 08:42:08 ossec-logcollector: INFO: (1950): Analyzing file: '/var/log/dpkg.log'.
2018/11/19 08:42:08 ossec-logcollector: INFO: Started (pid: 4574).
2018/11/19 08:42:08 ossec-remoted: INFO: (4111): Maximum number of agents allowed: '14000'.
2018/11/19 08:42:08 ossec-remoted: INFO: (1410): Reading authentication keys file.
